Country,Year,Life expectancy,Adult mortality,Infant deaths,Alcohol,Percentage expenditure,Hepatitis B,Measles,BMI,Polio,Total expenditure,Diphtheria,HIV/AIDS,Thinness 1-19 years,Income composition of resources,Schooling
Afghanistan,2000,54.8,321.0,4.48863636973214,0.01,2.4358004356800476,62.0,8.78462153484075,12.2,24.0,8.2,24.0,0.09531017980432493,2.3,0.338,5.5
Afghanistan,2001,55.3,316.0,4.48863636973214,0.01,2.448824118055131,63.0,9.07829359105585,12.6,35.0,7.8,33.0,0.09531017980432493,2.1,0.34,5.9
Afghanistan,2002,56.2,3.0,4.48863636973214,0.01,2.8840938099771143,64.0,7.818832443803404,13.0,36.0,7.76,36.0,0.09531017980432493,19.9,0.341,6.2
Afghanistan,2003,56.7,295.0,4.477336814478207,0.01,2.4923003100268697,65.0,6.683360945766275,13.4,41.0,8.82,41.0,0.09531017980432493,19.7,0.373,6.5
Afghanistan,2004,57.0,293.0,4.477336814478207,0.02,2.790923755376677,67.0,6.1463292576688975,13.8,5.0,8.79,5.0,0.09531017980432493,19.5,0.381,6.8
Afghanistan,2005,57.3,291.0,4.454347296253507,0.02,0.8707274033063157,66.0,7.167809184316444,14.2,58.0,8.7,58.0,0.09531017980432493,19.3,0.396,7.9
Afghanistan,2006,57.3,295.0,4.442651256490317,0.03,2.89985539625697,64.0,7.596392304064196,14.7,58.0,7.43,58.0,0.09531017980432493,19.2,0.405,8.1
Afghanistan,2007,57.5,295.0,4.418840607796598,0.02,2.4773914798389645,63.0,7.040536390215956,15.2,63.0,6.73,63.0,0.09531017980432493,19.0,0.415,8.4
Afghanistan,2008,58.1,287.0,4.394449154672439,0.03,3.2911564990436903,64.0,7.3777589082278725,15.7,64.0,8.33,64.0,0.09531017980432493,18.8,0.433,8.7
Afghanistan,2009,58.6,281.0,4.356708826689592,0.01,4.056334873695729,63.0,7.959275960116396,16.2,63.0,9.42,63.0,0.09531017980432493,18.6,0.434,8.9
