"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.303131452561841","0.645007977650483","6.97907124099296","6.83473960165936","6.63141218735832","7.72440953569183","8.54061754447135","33.9814579863932","35.9257587280837","39.5623855105126","44.2677129191469","47.7153224838474","68.4601944688517","70.1400151578543","71.5870872226464","72.0249071809776","75.0556337906891","74.3150480956247","75.1381080871181","77.3134597132591","77.919133248613","78.5623288079673","78.3682167751075","79.2608094947562","79.4932127387955","77.3930940031542","73.5774085919329","73.4917735552517","",
"Afghanistan","AFG","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","64","63","66","68","67","64","62","64","66","66","72","72","70","66","69","",
"Africa Western and Central","AFW","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.422263897983495","0","0.31188962932792","0.318559032728479","0.484658199239049","0.488022019619326","0.520015567950146","0.509900142518979","0.518424534489463","0.505564457946239","1.14974026364316","9.08434333242362","15.0892981003695","16.9089944490205","32.0044120073893","40.7004731516773","51.8472034182364","53.2765362466651","69.3733834520994","63.7622495717409","60.7880746525328","60.6833077799856","60.5189028171366","60.9702282807271","60.5572069093383","66.2374587907612","67.7052830014379","69.7925563121373","72.2580163508865","69.2015049523158","70.1008917890708","70.5136770615223","",
"Angola","AGO","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","45","47","49","50","52","54","55","59","59","56","63","57","51","45","42","",
"Albania","ALB","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","88","96","97","94","96","96","96","96","97","99","98","98","98","99","98","99","99","99","99","98","99","98","99","99","99","98","98","97","",
"Andorra","AND","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","80","75","84","84","84","81","77","79","84","91","97","96","96","99","96","94","95","94","94","98","98","98","98","98","96","",
"Arab World","ARB","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","4.70456221821479","7.15775247729441","9.45615282268638","11.3539169699321","30.8906868899588","39.3668292618057","39.5278552598739","45.2787899151631","41.0969002823425","50.891394169995","56.0673847826579","59.9112451207958","60.8702295846066","61.3121853703492","67.8928976556476","75.1415908936328","78.7706771160781","81.6716024851719","82.9498969002074","83.3070672207202","83.4435743285108","84.51574217914","80.9072359837326","86.6528141681485","85.0076537258864","84.2473220450234","85.1403496080086","86.2380659056518","85.9476619174134","86.1447646646037","82.9718536259861","82.5690053100554","84.2021367197152","",
"United Arab Emirates","ARE","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","96","92","92","92","92","92","92","92","92","92","92","93","94","95","96","98","99","99","99","98","99","98","91","95","95","",
"Argentina","ARG","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","73","81","88","84","85","90","94","94","91","91","94","94","94","92","86","86","83","74","81","81","",
"Armenia","ARM","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","69","91","93","91","91","78","85","89","93","94","95","95","95","93","94","94","94","92","92","92","93","96","",
"American Samoa","ASM","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","99","99","97","99","99","97","98","98","98","99","98","99","99","99","92","95","95","99","95","92","99","",
"Australia","AUS","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","95","95","95","95","95","94","94","94","92","92","91","91","91","93","94","95","95","95","95","95","94","",
"Austria","AUT","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","44","81","83","83","86","83","85","83","83","86","89","92","95","98","93","87","90","85","85","85","86","84","",
"Azerbaijan","AZE","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","51","50","49","52","62","68","74","80","84","88","93","94","96","97","95","95","94","79","89","83","",
"Burundi","BDI","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","87","92","99","92","94","96","96","96","96","95","94","94","91","90","93","93","94","91","",
